dataset,model_class,R,nodes_per_feature,nn_n_epochs,device,n_jobs,force_n_jobs,z_norm_sd,stopping_patience,R_inference
space_ga,MultiXGBs,10,30,1000,cpu,2,False,train_residual_models,5,50
cpu_activity,MultiXGBs,5,30,1000,cpu,2,False,1,5,30
naval_propulsion_plant,MultiXGBs,5,30,1000,cpu,2,False,0.01,5,50
miami_housing,MultiXGBs,5,10,1000,cpu,2,False,train_residual_models,5,50
kin8nm,MultiXGBs,5,30,1000,cpu,2,False,train_residual_models,10,50
concrete_compressive_strength,MultiXGBs,25,30,1000,cpu,2,False,train_residual_models,5,50
cars,MultiXGBs,50,10,1000,cpu,2,False,train_residual_models,10,50
energy_efficiency,MultiXGBs,5,1,1000,cpu,2,False,0.01,10,50
california_housing,MultiXGBs,5,10,1000,cpu,2,False,0.1,5,30
airfoil_self_noise,MultiXGBs,25,1,1000,cpu,2,False,train_residual_models,10,50
QSAR_fish_toxicity,MultiXGBs,50,30,1000,cpu,2,False,1,5,50
space_ga,MultiETs,10,30,1000,cpu,2,False,train_residual_models,10,50
cpu_activity,MultiETs,5,30,1000,cpu,2,False,1,5,30
naval_propulsion_plant,MultiETs,5,30,1000,cpu,2,False,0.01,5,50
miami_housing,MultiETs,10,10,1000,cpu,2,False,train_residual_models,5,50
kin8nm,MultiETs,5,30,1000,cpu,2,False,train_residual_models,10,50
concrete_compressive_strength,MultiETs,25,30,1000,cpu,2,False,train_residual_models,10,50
cars,MultiETs,100,5,1000,cpu,2,False,train_residual_models,10,50
energy_efficiency,MultiETs,5,1,1000,cpu,2,False,0.01,10,50
california_housing,MultiETs,5,10,1000,cpu,2,False,0.1,5,30
airfoil_self_noise,MultiETs,25,1,1000,cpu,2,False,train_residual_models,10,50
QSAR_fish_toxicity,MultiETs,50,30,1000,cpu,2,False,train_residual_models,10,50
space_ga,MultiMLPs,25,10,1000,gpu,1,True,train_residual_models,10,50
cpu_activity,MultiMLPs,5,20,1000,gpu,1,True,0.001,5,30
naval_propulsion_plant,MultiMLPs,5,20,1000,gpu,1,True,0.001,5,50
miami_housing,MultiMLPs,5,20,1000,gpu,1,True,train_residual_models,5,50
kin8nm,MultiMLPs,5,20,1000,gpu,1,True,train_residual_models,5,50
concrete_compressive_strength,MultiMLPs,5,30,1000,gpu,1,True,train_residual_models,10,50
cars,MultiMLPs,5,30,1000,gpu,1,True,train_residual_models,5,50
energy_efficiency,MultiMLPs,50,30,5000,gpu,1,True,0.1,10,50
california_housing,MultiMLPs,5,20,1000,gpu,1,True,0.01,5,30
airfoil_self_noise,MultiMLPs,25,10,1000,gpu,1,True,train_residual_models,10,50
QSAR_fish_toxicity,MultiMLPs,50,30,5000,gpu,1,True,train_residual_models,5,50
